attributo_a,attributo_b,similarita,predizione,ground_truth,esito
customer_id,client_code,0.0000,0,1,FN
customer_id,given_name,0.0000,0,0,TN
customer_id,family_name,0.0000,0,0,TN
customer_id,email_address,0.0000,0,0,TN
customer_id,date_of_birth,0.0000,0,0,TN
customer_id,zip_code,0.0000,0,0,TN
customer_id,account_creation_date,0.0000,0,0,TN
customer_id,total_amount,0.0000,0,0,TN
customer_id,newsletter_opt_in,0.0000,0,0,TN
first_name,client_code,0.0000,0,0,TN
first_name,given_name,0.3333,0,1,FN
first_name,family_name,0.3333,0,0,TN
first_name,email_address,0.0000,0,0,TN
first_name,date_of_birth,0.0000,0,0,TN
first_name,zip_code,0.0000,0,0,TN
first_name,account_creation_date,0.0000,0,0,TN
first_name,total_amount,0.0000,0,0,TN
first_name,newsletter_opt_in,0.0000,0,0,TN
last_name,client_code,0.0000,0,0,TN
last_name,given_name,0.3333,0,0,TN
last_name,family_name,0.3333,0,1,FN
last_name,email_address,0.0000,0,0,TN
last_name,date_of_birth,0.0000,0,0,TN
last_name,zip_code,0.0000,0,0,TN
last_name,account_creation_date,0.0000,0,0,TN
last_name,total_amount,0.0000,0,0,TN
last_name,newsletter_opt_in,0.0000,0,0,TN
email,client_code,0.0000,0,0,TN
email,given_name,0.0000,0,0,TN
email,family_name,0.0000,0,0,TN
email,email_address,0.5000,1,1,TP
email,date_of_birth,0.0000,0,0,TN
email,zip_code,0.0000,0,0,TN
email,account_creation_date,0.0000,0,0,TN
email,total_amount,0.0000,0,0,TN
email,newsletter_opt_in,0.0000,0,0,TN
birth_date,client_code,0.0000,0,0,TN
birth_date,given_name,0.0000,0,0,TN
birth_date,family_name,0.0000,0,0,TN
birth_date,email_address,0.0000,0,0,TN
birth_date,date_of_birth,0.6667,1,1,TP
birth_date,zip_code,0.0000,0,0,TN
birth_date,account_creation_date,0.2500,0,0,TN
birth_date,total_amount,0.0000,0,0,TN
birth_date,newsletter_opt_in,0.0000,0,0,TN
postal_code,client_code,0.3333,0,0,TN
postal_code,given_name,0.0000,0,0,TN
postal_code,family_name,0.0000,0,0,TN
postal_code,email_address,0.0000,0,0,TN
postal_code,date_of_birth,0.0000,0,0,TN
postal_code,zip_code,0.3333,0,1,FN
postal_code,account_creation_date,0.0000,0,0,TN
postal_code,total_amount,0.0000,0,0,TN
postal_code,newsletter_opt_in,0.0000,0,0,TN
signup_date,client_code,0.0000,0,0,TN
signup_date,given_name,0.0000,0,0,TN
signup_date,family_name,0.0000,0,0,TN
signup_date,email_address,0.0000,0,0,TN
signup_date,date_of_birth,0.2500,0,0,TN
signup_date,zip_code,0.0000,0,0,TN
signup_date,account_creation_date,0.2500,0,0,TN
signup_date,total_amount,0.0000,0,0,TN
signup_date,newsletter_opt_in,0.0000,0,0,TN
total_spent,client_code,0.0000,0,0,TN
total_spent,given_name,0.0000,0,0,TN
total_spent,family_name,0.0000,0,0,TN
total_spent,email_address,0.0000,0,0,TN
total_spent,date_of_birth,0.0000,0,0,TN
total_spent,zip_code,0.0000,0,0,TN
total_spent,account_creation_date,0.0000,0,0,TN
total_spent,total_amount,0.3333,0,1,FN
total_spent,newsletter_opt_in,0.0000,0,0,TN
internal_notes,client_code,0.0000,0,0,TN
internal_notes,given_name,0.0000,0,0,TN
internal_notes,family_name,0.0000,0,0,TN
internal_notes,email_address,0.0000,0,0,TN
internal_notes,date_of_birth,0.0000,0,0,TN
internal_notes,zip_code,0.0000,0,0,TN
internal_notes,account_creation_date,0.0000,0,0,TN
internal_notes,total_amount,0.0000,0,0,TN
internal_notes,newsletter_opt_in,0.0000,0,0,TN
